"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"À toi la gloire",1,"À toi la gloire !",,"Thine be the glory","Haendel, George Frideric","George Frideric Haendel","Budry, Edmond Louis","Edmond Louis Budry","Jésus-Christ : sa résurrection"
"À toi la gloire",2,"O mon Dieu, mon Sauveur",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"À toi la gloire",3,"Je louerai l'Eternel",,,"Fraysse, Claude","Claude Fraysse","Fraysse, Claude","Claude Fraysse","Psaumes"
"À toi la gloire",4,"Reçois favorablement",,"Let the words of my mouth","Inconnu","Inconnu","Jeunesse en Mission","Jeunesse en Mission","Psaumes"
"À toi la gloire",5,"L'Eternel seul est Seigneur",,"Benevento","Webbe, Samuel","Samuel Webbe","Malan, César","César Malan","Psaumes"
"À toi la gloire",6,"Jésus est mon divin Berger",,"The Lord my shephered","Irvine, Jessie Seymour","Jessie Seymour Irvine","Arnéra, Hector","Hector Arnéra","Psaumes"
"À toi la gloire",7,"À toi, mon Dieu, mon coeur monte",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"À toi la gloire",8,"Éternel, fais-moi connaître tes voies",,,"Woerden, Pierre van","Pierre van Woerden","Woerden, Pierre van","Pierre van Woerden","Psaumes"
"À toi la gloire",9,"Réveille-toi, peuple fidèle",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"À toi la gloire",10,"L'Eternel seul est ma lumière",,,"Haydn, Franz Josef","Franz Josef Haydn","Malan, César","César Malan","Psaumes"
"À toi la gloire",11,"Heureux celui de qui Dieu",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"À toi la gloire",12,"Comme un cerf altéré brame",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",13,"Qu'on batte des mains",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",14,"Peuples, venez",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",15,"Que Dieu se montre seulement",,"Es sind doch selig alle","Greiter, Matthias","Matthias Greiter","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",16,"Triomphons, chantons d'allégresse",,"O Zion acclaim your Redeemer","McGranahan, James","James McGranahan","Humbert, Mlle Amélie","Mlle Amélie Humbert","Psaumes"
"À toi la gloire",17,"Seigneur, tu fus notre refuge",,"O God, our help in ages past","Croft, Dr. William","Dr. William Croft","Nicole, Jules-Marcel","Jules-Marcel Nicole","Psaumes"
"À toi la gloire",18,"Roi des Rois, Eternel mon Dieu",,,"Dagues, P.","P. Dagues","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",19,"Dieu règne en juste Roi",,,"Psautier 1562","Psautier 1562","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",20,"Vous qui sur la terre habitez",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",21,"Entonnons un nouveau cantique",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",22,"Bénissons Dieu, mon âme",,,"Recueil de Strasbourg","Recueil de Strasbourg","Marot, Clément","Clément Marot","Psaumes"
"À toi la gloire",23,"Bénissez l'Eternel",,"Bless the Lord of my soul","Inconnu","Inconnu","Jeunesse en Mission","Jeunesse en Mission","Psaumes"
"À toi la gloire",24,"O mon âme, exalte et chante !",,"Praise, my Soul","Goss, John","John Goss","Benoit, Claire-Lise de","Claire-Lise de Benoit","Psaumes"
"À toi la gloire",25,"Je chanterai l'Eternel",,,"Hogen, John van den","John van den Hogen","Hogen, John van den","John van den Hogen","Psaumes"
"À toi la gloire",26,"J'aime mon Dieu",,,"Dagues, P.","P. Dagues","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"À toi la gloire",27,"Voici le Jour",,,"Inconnu","Inconnu","Inconnu","Inconnu","Psaumes"
"À toi la gloire",28,"Rendez à Dieu l'honneur suprême",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"À toi la gloire",29,"Dieu, je te loue",,,"Air israëlien","Air israëlien","Woerden, Pierre van","Pierre van Woerden","Psaumes"
"À toi la gloire",30,"J'entrerai dans ses portes",,,"Inconnu","Inconnu","Lachat, Pierre","Pierre Lachat","Psaumes"
"À toi la gloire",31,"Ah ! qu'il est doux pour des frères !",,"Hiné Matov","Air hébraïque","Air hébraïque","Glardon, Christian","Christian Glardon","Psaumes"
"À toi la gloire",32,"Je lève les yeux",,,"Goudimel, Claude","Claude Goudimel","Decoppet, Auguste Louis","Auguste Louis Decoppet","Psaumes"
"À toi la gloire",33,"Au fort de ma détresse",,,"Strasbourg 1539","Strasbourg 1539","Marot, Clément","Clément Marot","Psaumes"
"À toi la gloire",34,"Il faut, grand Dieu",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
