"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"Ailes de la Foi",1,"Qu'on batte des mains.",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",2,"Peuples, venez.",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",3,"Rendez à Dieu l'honneur suprême.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",4,"Il faut grand Dieu.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",5,"Gloire à Dieu, notre Créateur.",,,"Bourgeois, Louis","Louis Bourgeois","(Chants Evangéliques)","(Chants Evangéliques)","Psaumes"
"Ailes de la Foi",6,"Bénissons Dieu, mon âme.",,,"Recueil de Strasbourg","Recueil de Strasbourg","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",7,"À Celui qui nous a sauvés.",,,"Bourgeois, Louis","Louis Bourgeois","Pictet, Bénédict.","Bénédict. Pictet","Psaumes"
"Ailes de la Foi",8,"La terre au Seigneur appartient.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",9,"Dieu, c'est dans ta Sion sainte.",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",10,"L'Eternel seul est Seigneur.",,"Benevento","Webbe, Samuel","Samuel Webbe","Malan, César","César Malan","Psaumes"
"Ailes de la Foi",11,"Gloire, gloire à l Eternel.",,"Benevento","Webbe, Samuel","Samuel Webbe","Lamouroux, Dr","Dr Lamouroux","Psaumes"
"Ailes de la Foi",12,"Comme un cerf altéré brame.",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",13,"Roi des Rois, Eternel mon Dieu.",,,"Dagues, P.","P. Dagues","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",14,"Dieu fort et grand.",,,"Beethoven, Ludwig van","Ludwig van Beethoven","Lemire, Mme","Mme Lemire","Psaumes"
"Ailes de la Foi",15,"O mon Dieu, mon Sauveur.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",16,"L'Eternel est mon Berger.",,,"Berg, Alban Maria Johannes","Alban Maria Johannes Berg","Decoppet, Auguste Louis","Auguste Louis Decoppet","Psaumes"
"Ailes de la Foi",17,"À toi mon Dieu mon coeur monte.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",18,"Je lève les yeux.",,,"Goudimel, Claude","Claude Goudimel","Decoppet, Auguste Louis","Auguste Louis Decoppet","Psaumes"
"Ailes de la Foi",19,"Au fort de ma détresse.",,,"Strasbourg 1539","Strasbourg 1539","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",20,"Mon Dieu prête-moi l'oreille.",,,"Bourgeois, Louis","Louis Bourgeois","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",21,"J'aime mon Dieu.",,,"Dagues, P.","P. Dagues","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",22,"L'Eternel seul est ma lumière.",,,"Haydn, Joseph","Joseph Haydn","Malan, César","César Malan","Psaumes"
"Ailes de la Foi",23,"Qui sous la garde du grand Dieu.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",24,"Seigneur, tu fus notre refuge.",,"O God, our help in ages past","Croft, Dr. William","Dr. William Croft","Nicole, Jules-Marcel","Jules-Marcel Nicole","Psaumes"
"Ailes de la Foi",25,"Que Dieu se montre seulement.",,"Es sind doch selig alle","Greiter, Matthias","Matthias Greiter","Bèze, Théodore De","Théodore De Bèze","Psaumes"
"Ailes de la Foi",26,"Éternel, ta fidélité.",,"Es sind doch selig alle","Greiter, Matthias","Matthias Greiter","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",27,"Heureux celui de qui Dieu.",,,"Bourgeois, Louis","Louis Bourgeois","Marot, Clément","Clément Marot","Psaumes"
"Ailes de la Foi",28,"Source de tous les biens.",,,"Malan, César","César Malan","Corneille, Pierre","Pierre Corneille","Psaumes"
"Ailes de la Foi",29,"Oui, je bénirai Dieu.",,,"Malan, César","César Malan","Malan, César","César Malan","Psaumes"
"Ailes de la Foi",30,"Chrétiens, peuple fidèle.",,,"Wolf-Hauloch","Wolf-Hauloch","Empeytaz, Henri-Louis","Henri-Louis Empeytaz","Louange"
"Ailes de la Foi",31,"Ton Eglise triomphante.",,,"Mountain, James","James Mountain","Saillens, Ruben","Ruben Saillens","Louange"
"Ailes de la Foi",32,"Du Rocher de Jacob.",,,"Malan, César","César Malan","Malan, César","César Malan","Louange"
"Ailes de la Foi",33,"Chantons, chantons sans cesse.",,,"Malan, César","César Malan","Clottu, F.-G.","F.-G. Clottu","Louange"
"Ailes de la Foi",34,"Grand Dieu, nous te bénissons.",,"Sun of my soul, Thou Savior Dear ","Ritter ; Recueil de Vienne 1774","Ritter ; Recueil de Vienne 1774","Empeytaz, Henri-Louis","Henri-Louis Empeytaz","Louange"
"Ailes de la Foi",35,"Grand Dieu, nous te louons.",,,"Psautier","Psautier","Pictet, Bénédict.","Bénédict. Pictet","Louange"
"Ailes de la Foi",36,"Hosanna, béni soit.",,,"Malan, César","César Malan","Malan, César","César Malan","Louange"
"Ailes de la Foi",37,"Les cieux et la terre.",,"O Worship the King all glorious above","Mozart, Wolfgang Amadeus","Wolfgang Amadeus Mozart","Budry, Edmond Louis","Edmond Louis Budry","Louange"
"Ailes de la Foi",38,"Je chanterai, Seigneur.",,,"Delaborde, L.-J.","L.-J. Delaborde","Racine, Louis","Louis Racine","Louange"
"Ailes de la Foi",39,"Est-il bien vrai, Seigneur.",,,"Delaborde, L.-J.","L.-J. Delaborde","Chabeaud-Latour, Mlle de","Mlle de Chabeaud-Latour","Louange"
"Ailes de la Foi",40,"Jésus, Jésus, Jésus.",,"Requiem aeternam dona eis, Domine","Webbe, Samuel d'après Mozart, Wolfgang Amadeus","Samuel Webbe d'après Wolfgang Amadeus Mozart","Juillard, A.","A. Juillard","Louange"
"Ailes de la Foi",41,"Oui, pour son peuple.",,,"Bost, Ami","Ami Bost","Clottu, F.-G.","F.-G. Clottu","Louange"
"Ailes de la Foi",42,"Seigneur, grand Dieu.",,,"Kovats, Dr Louis","Dr Louis Kovats","Kovats, Dr Louis ; imité par Wargenau-Saillens, Mme M.","Dr Louis Kovats ; imité par Mme M. Wargenau-Saillens","Louange"
"Ailes de la Foi",43,"Oui, je veux te bénir.",,,"Olivier, François","François Olivier","Dumont, François","François Dumont","Louange"
"Ailes de la Foi",44,"Ma richesse, ma gloire.",,"Jerusalem","Purday, Charles Henry","Charles Henry Purday","Bez","Bez","Louange"
