"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"JEM Kids",1,"Abba Père",,,"Christensen, Chris ; Ostrini, Thierry","Chris Christensen & Thierry Ostrini","Christensen, Chris ; Ostrini, Thierry","Chris Christensen & Thierry Ostrini","Père"
"JEM Kids",2,"Abraham s'en va",,,"Gustave, Laurence ; Bourbon, Anne-France","Laurence Gustave & Anne-France Bourbon","Gustave, Laurence ; Bourbon, Anne-France","Laurence Gustave & Anne-France Bourbon","Histoires et personnages bibliques"
"JEM Kids",3,"Ah la vie d'famille",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Famille"
"JEM Kids",4,"Aimez-vous comme je vous ai aimés",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Amour"
"JEM Kids",5,"Au temps de Noël",,,"Girardier, Ginette","Ginette Girardier","Girardier, Ginette","Ginette Girardier","Noël"
"JEM Kids",6,"À Jésus",,,"Girardier, Ginette","Ginette Girardier","Girardier, Ginette","Ginette Girardier","Noël"
"JEM Kids",7,"Aussitôt couché",,,"Paton, Marc, Jonathan et Samuel","Marc, Jonathan et Samuel Paton","Paton, Marc, Jonathan et Samuel","Marc, Jonathan et Samuel Paton","Coucher"
"JEM Kids",8,"Autrefois j'avais peur",,"I once was afraid of spiders","Smale, Ian","Ian Smale","Smale, Ian","Ian Smale","Peurs"
"JEM Kids",9,"Avec mon bouclier",,,"Freymond, Sylvain","Sylvain Freymond","Freymond, Sylvain","Sylvain Freymond","Armes du chrétien"
"JEM Kids",10,"Bonjour, bonjour",,,"Hey, Denis et Isabelle","Denis et Isabelle Hey","Hey, Denis et Isabelle","Denis et Isabelle Hey","Accueil"
"JEM Kids",11,"Avec un cœur joyeux",,"Hear the Money Dropping","Kirkpatrick, William J.","William J. Kirkpatrick","De Witt, Fidelia H.","Fidelia H. De Witt","Offrandes"
"JEM Kids",12,"Bonne nouvelle",,,"Paton, Marc ; Lacour, David","Marc Paton & David Lacour","Paton, Marc ; Lacour, David","Marc Paton & David Lacour","Noël"
"JEM Kids",13,"Célébrez l'Eternel",,,"Owens, Heather","Heather Owens","Owens, Heather","Heather Owens","Louange"
"JEM Kids",14,"C'est mon anniversaire",,,"Hey, Denis et Isabelle","Denis et Isabelle Hey","Hey, Denis et Isabelle","Denis et Isabelle Hey","Anniversaire"
"JEM Kids",15,"C'est pas juste",,,"Gustave, Laurence ; Bourbon, Anne-France","Laurence Gustave & Anne-France Bourbon","Gustave, Laurence ; Bourbon, Anne-France","Laurence Gustave & Anne-France Bourbon","Injustices"
"JEM Kids",16,"Chante Alléluia, gloire à Dieu",,"Sing Halleluia, praise the Lord","Smale, Ian","Ian Smale","Smale, Ian","Ian Smale","Louange"
"JEM Kids",17,"Chaque fois que tu pries",,,"Hurtrel, Danie","Danie Hurtrel","Hurtrel, Danie","Danie Hurtrel","Prière"
"JEM Kids",18,"Chut faisons silence",,"Softly, softly, softly","Martin, Bertha","Bertha Martin","Martin, Bertha","Bertha Martin","Prière"
"JEM Kids",19,"Cœur de Père",,,"Jaccard, Sylvain - Les ados de Bessonaz 1997","Les ados de Bessonaz 1997, Sylvain Jaccard","Jaccard, Sylvain","Sylvain Jaccard","Père"
"JEM Kids",20,"Comme l'aigle",,,"Salzmann, Jean-Micael","Jean-Micael Salzmann","Salzmann, Jean-Micael","Jean-Micael Salzmann","Choix"
"JEM Kids",21,"Comme un enfant",,,"Schnegg, Judith","Judith Schnegg","Schnegg, Judith","Judith Schnegg","Consécration"
"JEM Kids",22,"Pourquoi rêver d'aller au ciel",,"Wie wird es sein dort im Himmel?","Mac Farlane, Carri","Carri Mac Farlane","Mac Farlane, Carri","Carri Mac Farlane","Ciel"
"JEM Kids",23,"Compassion",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Compassion"
"JEM Kids",24,"Confie-toi",,,"Paton, Marc et Rachel","Marc et Rachel Paton","Paton, Marc et Rachel","Marc et Rachel Paton","Confiance"
"JEM Kids",25,"De tout mon cœur",,,"Balocco, Gino ; Hege, Esther","Gino Balocco & Esther Hege","Balocco, Gino ; Hege, Esther","Gino Balocco & Esther Hege","Adoration"
"JEM Kids",26,"Bonjour Jérémie, bonjour",,,"Musique populaire","Musique populaire","Kovar, Lilian","Lilian Kovar","Lever"
"JEM Kids",27,"Dieu a tant aimé le monde",,,"Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Amour"
"JEM Kids",28,"Dieu est bon pour moi",,,"Inconnu","Inconnu","Inconnu","Inconnu","Confiance"
"JEM Kids",29,"Dieu est si bon",,,"Inconnu","Inconnu","Inconnu","Inconnu","Louange"
"JEM Kids",30,"Dieu le dit: ""Je suis le premier !""",,,"Chollet, Pierre-Alain","Pierre-Alain Chollet","Chollet, Pierre-Alain","Pierre-Alain Chollet","Louange"
"JEM Kids",31,"Dieu n'est pas mort",,,"Inconnu","Inconnu","Inconnu","Inconnu","Louange"
"JEM Kids",32,"Dieu puissant",,,"Paton, Marc et Rachel","Marc et Rachel Paton","Paton, Marc et Rachel","Marc et Rachel Paton","Adoration"
"JEM Kids",33,"Dieu tu es grand",,,"Freymond, Line et Sylvain","Line et Sylvain Freymond","Freymond, Line et Sylvain","Line et Sylvain Freymond","Louange"
